id,body part
51888,11
52063,21
52066,12
52056,22
51912,23
51911,13
52079,24
52072,14
52100,51
52096,52
52094,53
52085,54
51892,31
52073,41
51910,32
52068,42
52084,33
52081,43
52091,34
52092,44
