id,body part
52333,21
52357,11
52342,22
52347,12
52331,13
52336,23
52324,14
52358,24
52356,51
52354,52
52361,53
52353,54
52351,41
52308,31
52350,42
52302,32
52352,43
52190,33
52223,34
52348,44
