time,leg left,leg right,arm left,arm right,back,left leg/lower back,right leg/lower back,left arm/upper back,right arm/upper back,left leg/back,right leg/back,left arm/back,right arm/back
0.0,174.1306096249014,174.12696672911704,150.01065544433052,154.68500416654533,135.74613319276375,159.62484073157316,162.05102601769673,34.32050130258619,34.85843476508951,173.28588920225843,173.51348720079147,13.483609963698267,8.515414684838754
0.008333333333439441,174.06914640225574,174.1334804086343,149.9345816618297,154.48815781312706,135.80668686944358,159.6813495047692,162.10416754811982,34.36856030042906,34.901665127329345,173.26701660125931,173.53727569638414,13.83873359815305,8.900459395464136
0.01666666666665151,174.10135915757266,174.13804839849948,149.8898790361152,154.29991560486545,135.8191366805096,159.6204574794453,162.12236636047902,34.45709585361398,34.89871031137586,173.21850886315295,173.56969856608325,14.108480496570948,9.339035537350012
0.02500000000009095,174.07005137673977,174.13302301919734,149.9400680699181,154.3925591376606,135.8250827719324,159.65512960089856,162.13191387721406,34.55496008588131,35.102540246365024,173.22485350672102,173.58396098817985,14.263301973500223,9.632265204970752
0.03333333333330302,174.04882400211463,174.13386496654573,149.92752888289337,154.34834966527816,135.85778420039225,159.71717815103315,162.15979446242946,34.61513501002406,35.19546421957763,173.23705644057864,173.6136939742981,14.556531276836333,9.99936358772626
0.04166666666674246,174.04422075862288,174.15122189209322,149.9480946381922,154.31715389196498,135.83863409598206,159.73095122806242,162.18331044443235,34.70258465535425,35.265119205133765,173.24179612659765,173.6574302487344,14.778123928000664,10.264731187464845
0.049999999999954525,174.04396129633517,174.10558186014975,149.96964846797925,154.36860415850188,135.879732058769,159.75874212230178,162.22316743572236,34.721583166745305,35.36243788358041,173.23866496986008,173.64470007170246,14.92556674087041,10.594328098763137
0.058333333333393966,174.0510310706135,174.10536370212895,150.12387004681457,154.41245481303125,135.8833657318377,159.75496978697598,162.24247454341307,34.78042357237476,35.45748372569949,173.23357995638492,173.67303479526444,14.992959170953657,10.926674970297228
0.06666666666683341,174.06306898839702,174.10695570158853,150.19637064762725,154.52949969418307,136.03029700238997,159.89835553139028,162.33793717835118,34.81908624556779,35.551099223142735,173.23274850021076,173.7047444846187,15.185545108444634,11.223521919837522
0.07500000000004547,174.06975789250728,174.11767618520204,150.26674669178732,154.6781150556934,136.04542021149513,159.9125309659049,162.37397960610684,34.84542514665076,35.67419892637233,173.23167993653576,173.73274417916082,15.278716459262181,11.486215085676573
0.08333333333348492,174.10921171389685,174.1157872688918,150.3449940277945,154.82821463818357,136.057721443159,159.9068485277192,162.38864331378835,34.831451621627366,35.76741327720094,173.2284088390385,173.75623746565844,15.378389116043525,11.720271563156883
0.09166666666669698,174.08881226135094,174.11130719237397,150.45675689312282,154.9895365206585,136.05009921715416,159.89116209418492,162.39380269317553,34.838794954404335,35.825512990148624,173.2348412095456,173.7780723989287,15.476555395544999,11.893651031595786
0.10000000000013642,174.08618265535986,174.12114602433013,150.6042666405895,155.21102271733258,136.11442162324647,159.97253513018,162.4663137374675,34.89316619368637,35.91602598708687,173.235959332627,173.7995427919668,15.562889562009124,12.044960398235755
0.10833333333334849,174.0989355155623,174.12889519158045,150.76885721318445,155.46392904949747,136.12623868965775,159.97766821663376,162.4966918706441,34.89622057384202,36.013647037045985,173.23078792847932,173.8296173579534,15.621177707069645,12.16671637927015
0.11666666666678793,174.10636689226266,174.1166085637659,150.88602434478813,155.72147770014877,136.1452307350525,160.0058681452346,162.5315392797126,34.91906460944457,36.11367695418083,173.23083697149585,173.83601618965463,15.650840059125558,12.274510076069348
0.125,174.11282245767538,174.11202957806262,150.99753568660577,155.99179445062,136.15147034969175,160.00614992741654,162.55922166153647,34.90047665470282,36.20031994054341,173.23720291276317,173.85360906501896,15.637058815829414,12.371978043158844
0.13333333333343944,174.11545662856915,174.1108503309775,151.1296611491438,156.2449960407469,136.10824114949838,159.9609125764626,162.55193433869098,34.89271678138174,36.296759858819996,173.22617943431646,173.87480745555754,15.603995772184586,12.430893545331019
0.1416666666666515,174.12794131887358,174.10480298894333,151.29406675175287,156.510889950847,135.88402066334302,159.72479876169092,162.3551928374122,34.897528407677555,36.33364074839652,173.2310330482024,173.884990200135,15.546687568175265,12.447776696794334
0.15000000000009095,174.11076327553627,174.10776137997306,151.42819330880442,156.8117670285321,135.8698492748665,159.71210107022895,162.37959281709715,34.91334333288216,36.404445780760526,173.2188147122141,173.90701984221036,15.48371883696107,12.454405895361772
0.15833333333330302,174.10936299513486,174.0886802548608,151.58330743389294,157.06341543172653,135.8886613786067,159.7350153687355,162.43487558568447,34.922911386352325,36.455851966545616,173.21281781713395,173.9230020297385,15.42371877906252,12.432217737907457
0.16666666666674246,174.10778699711167,174.10367655560407,151.75069945174408,157.32961175116145,135.88598708296206,159.7211854631699,162.45749361076915,34.91576326090549,36.510912537510436,173.19992430429335,173.94327151684888,15.385989739496567,12.404951453347602
0.17499999999995453,174.14453245025678,174.08731306472393,151.91125575525763,157.58326507319077,135.93660796844642,159.74647779727624,162.51851711093568,34.91540868852081,36.51489389867186,173.18627360994228,173.9639472933704,15.324212115921046,12.346730606997804
0.18333333333339397,174.1472838191634,174.09467220737196,152.0954299861489,157.82667489058977,135.90384246747462,159.71789530505808,162.52362667613988,34.94470936981497,36.56535515719666,173.17413905979197,173.98305739369587,15.305548472897872,12.298167285770768
0.1916666666668334,174.0980995209961,174.090215394795,152.2866209144345,158.06231510799608,135.92017682446743,159.69391900598873,162.53649191024388,34.95142938635211,36.57993538598523,173.14321613521685,173.99403704105208,15.272407764607559,12.220828316059654
