time,leg left,leg right,arm left,arm right,back,floor/left leg,floor/right leg,left leg/lower back,right leg/lower back,left arm/upper back,right arm/upper back,left leg/back,right leg/back,left arm/back,right arm/back
0.0,169.3278113537697,171.64903699308348,0,0,134.33834169839827,79.15868516570187,81.76163806437735,152.36933428665654,159.24279686495362,0,0,162.17639378328923,166.1901396548603,0,0
0.008333333333439441,169.32328779726163,171.65188851901345,0,0,134.250542334499,79.15698890719777,81.75387651242698,152.25209644905306,159.14129261071153,0,0,162.1581657668175,166.20042843930534,0,0
0.01666666666665151,169.31838335159046,171.6768557260054,0,0,134.2599833756888,79.15607219553245,81.74631750197732,152.2344947683656,159.17177620217208,0,0,162.141487823983,166.23315847824804,0,0
0.02500000000009095,169.37170253828793,171.67868175445955,0,0,134.269158527152,79.09720831085619,81.74719547412367,152.22787942124944,159.19207113988148,0,0,162.11993142399558,166.2432336203856,0,0
0.03333333333353039,169.36125946820925,171.6928486056891,0,0,134.26251776127907,79.0977183849736,81.73719459543905,152.20441420004474,159.20010861338852,0,0,162.10094211102785,166.2642095133488,0,0
0.04166666666674246,169.35391882415627,171.705813685721,0,0,134.22418071704726,79.09263374671721,81.71800628867165,152.22567859740258,159.24204121897665,0,0,162.0863139791886,166.278202301985,0,0
0.0500000000001819,169.403577445355,171.69902649200407,0,0,134.16356456181262,79.03913119942783,81.72363002231963,152.1735644495653,159.20799505082218,0,0,162.07044048784982,166.28585815116506,0,0
0.058333333333393966,169.4154057253468,171.7008459466801,0,0,134.16629723666517,79.03238699437415,81.71824207356899,152.1881896269033,159.23747211642421,0,0,162.06897526903313,166.30150955888163,0,0
0.06666666666683341,169.4129341635161,171.7054264151787,0,0,134.09701052759397,79.02709442376798,81.71845106091023,152.1445985873997,159.20472233840704,0,0,162.0523813419082,166.31422180803204,0,0
0.07500000000004547,169.4114601653106,171.7018206341562,0,0,134.06407308834827,79.02752847695828,81.71385475121254,152.15231112746216,159.2191703519484,0,0,162.04906094531685,166.3253815483112,0,0
0.08333333333348492,169.42163782849536,171.71080980106194,0,0,134.01543391505314,79.01916905392041,81.70892536650703,152.1257978080985,159.19849347031342,0,0,162.04227741695615,166.34770832741808,0,0
0.09166666666669698,169.4152982055843,171.70944597678812,0,0,133.9295715140775,79.02349175485134,81.70911042412196,152.08064351540798,159.1590467601993,0,0,162.03173084303432,166.36465300339881,0,0
0.10000000000013642,169.4208878235871,171.72753554836513,0,0,133.8883512164853,79.01875517321724,81.7024311287242,152.10433729315298,159.1735126017002,0,0,162.02508858599967,166.38812076700827,0,0
0.10833333333334849,169.34873541029137,171.71712243017956,0,0,133.78480400293267,79.08003236740882,81.71814107872609,152.0253580452095,159.1113199485244,0,0,162.01375262803364,166.39697419973515,0,0
0.11666666666678793,169.35183027941957,171.7127440412057,0,0,133.7201372141446,79.0793956780221,81.7202184988379,151.99713096463523,159.07563166423773,0,0,162.00470821592845,166.39529056583282,0,0
0.125,169.3428825060212,171.71504160213536,0,0,133.53724726035585,79.08464990492615,81.71487476859583,151.8741500063289,158.95868588138455,0,0,161.97990752028122,166.38765402552272,0,0
0.13333333333343944,169.33706192292226,171.69916837661023,0,0,133.46725763985296,79.09066377516427,81.7108623796132,151.82762507363998,158.8756439462378,0,0,161.96574592655105,166.35594184889777,0,0
0.1416666666666515,169.38582900268446,171.69739317694055,0,0,133.37866592265902,79.04716580400431,81.69906220323352,151.76152104659192,158.81038726619315,0,0,161.94325942874895,166.33711845209206,0,0
0.15000000000009095,169.34237415603022,171.7112965834564,0,0,133.26043559298273,79.09019863340728,81.67292461526641,151.68249849098743,158.7280737294064,0,0,161.93094769029673,166.31973773940982,0,0
0.1583333333335304,169.39126290280953,171.71156535887155,0,0,133.19238096470966,79.04552885158125,81.66270523220021,151.63503859640588,158.66990808764794,0,0,161.90766853769466,166.2900480629985,0,0
0.16666666666674246,169.408358157595,171.7185343723211,0,0,133.18449391227526,79.03868921659544,81.6528116738324,151.63728102803296,158.6727730279465,0,0,161.88974298404486,166.2669320893447,0,0
0.1750000000001819,169.4099263668229,171.72607931189788,0,0,133.1345415462323,79.04354733584549,81.64107338887055,151.5904994996552,158.6143279180304,0,0,161.87170291524987,166.2396540005464,0,0
0.18333333333339397,169.4174269157944,171.7324588487435,0,0,133.16377774706365,79.04383713451462,81.62968017670555,151.60062413715147,158.6262670762508,0,0,161.85239869531492,166.21553668661804,0,0
0.1916666666668334,169.42597803536165,171.7392904239164,0,0,133.20054480661727,79.04353997964868,81.62278366910067,151.6167261522044,158.62784899440084,0,0,161.83237202393545,166.18482599271067,0,0
0.20000000000004547,169.4331303950578,171.7535013498614,0,0,133.1622868042845,79.04249354144947,81.62688489780648,151.58271065580428,158.6086628616946,0,0,161.80780883054143,166.17351767345198,0,0
0.20833333333348492,169.43781582163658,171.74903006792982,0,0,133.187115865139,79.04484609567919,81.6288027593078,151.59630742076675,158.6188271169701,0,0,161.79078558492478,166.14593507548472,0,0
0.21666666666669698,169.38487082118874,171.75087307434958,0,0,133.22050924238644,79.09444243344362,81.62668709903556,151.59318213346236,158.6203549045704,0,0,161.76851352110066,166.12136586959903,0,0
0.22500000000013642,169.39242712238442,171.76308480028388,0,0,133.2532408421984,79.09171183634147,81.62317237773978,151.62602234003697,158.65042688767062,0,0,161.7498779513528,166.1035016033122,0,0
0.2333333333333485,169.4073741340977,171.66359166344216,0,0,133.21592813521727,79.08852920216731,81.76380054078375,151.58446041536368,158.60157337632054,0,0,161.73876683810647,166.0840161627201,0,0
