id,body part
52163,21
52277,11
52362,22
52290,12
52361,23
52357,13
52437,24
52442,14
52405,51
52407,52
52353,53
52266,54
52354,41
52349,31
52337,42
52422,32
52421,33
52301,43
52406,34
52296,44
